init regexp @6.1 ms, 0 ms clock, 0 bytes, 0 allocs
init github.com/okuzpe/goclaw/internal/memory @6.1 ms, 0 ms clock, 984 bytes, 13 allocs
init testing @6.1 ms, 0 ms clock, 984 bytes, 4 allocs
init text/template/parse @6.1 ms, 0 ms clock, 0 bytes, 0 allocs
init vendor/golang.org/x/crypto/cryptobyte @6.1 ms, 0 ms clock, 32 bytes, 2 allocs
init vendor/golang.org/x/net/dns/dnsmessage @6.1 ms, 0 ms clock, 768 bytes, 6 allocs
init vendor/golang.org/x/net/http2/hpack @6.1 ms, 0 ms clock, 7344 bytes, 8 allocs
init vendor/golang.org/x/sys/cpu @6.1 ms, 0 ms clock, 1776 bytes, 4 allocs
init vendor/golang.org/x/crypto/chacha20poly1305 @6.1 ms, 0 ms clock, 0 bytes, 0 allocs
init crypto/hpke @6.1 ms, 0 ms clock, 0 bytes, 0 allocs
init vendor/golang.org/x/text/secure/bidirule @6.1 ms, 0 ms clock, 0 bytes, 0 allocs
init vendor/golang.org/x/text/unicode/norm @6.1 ms, 0 ms clock, 0 bytes, 0 allocs
init vendor/golang.org/x/net/idna @6.1 ms, 0 ms clock, 0 bytes, 0 allocs
init crypto/ecdsa @6.1 ms, 0 ms clock, 48 bytes, 2 allocs
init net/netip @6.1 ms, 0 ms clock, 728 bytes, 18 allocs
init net @6.6 ms, 1.0 ms clock, 1984 bytes, 30 allocs
init github.com/chzyer/readline @8.2 ms, 0 ms clock, 9120 bytes, 27 allocs
init github.com/spf13/pflag @8.8 ms, 0 ms clock, 256 bytes, 1 allocs
init golang.org/x/sys/windows @8.8 ms, 0 ms clock, 104 bytes, 4 allocs
init github.com/charmbracelet/x/windows @8.8 ms, 0 ms clock, 48 bytes, 1 allocs
init github.com/muesli/cancelreader @8.8 ms, 0 ms clock, 16 bytes, 1 allocs
init mime/multipart @8.8 ms, 0 ms clock, 240 bytes, 3 allocs
init crypto/x509 @8.8 ms, 0 ms clock, 1504 bytes, 34 allocs
init crypto/tls @8.8 ms, 0 ms clock, 2312 bytes, 13 allocs
init github.com/charmbracelet/x/ansi @8.8 ms, 0 ms clock, 808 bytes, 7 allocs
init github.com/charmbracelet/colorprofile @8.8 ms, 0 ms clock, 288 bytes, 4 allocs
init github.com/charmbracelet/ultraviolet @8.8 ms, 0 ms clock, 20336 bytes, 12 allocs
init charm.land/lipgloss/v2 @8.8 ms, 0 ms clock, 19752 bytes, 231 allocs
